Age,Gender,Education,Scuba,Rec_fish,Spearfishing,Sailing,Snorkeling_freediving,Boating,Jetski,Kite_surfing,kayak,main_activity,main_activity_trim,visit_freq,habitat_1,habitat_2,habitat_3,seagrass_image,coral_image,seafood_ben,recr_fish_ben,biodiversity_ben,water_ben,beach_ben,cc_ben,her_ben,coast_ben,iconic_ben,sci_ben,edu_ben,seafood_cor,recr_fish_cor,biodiversity_cor,water_cor,beach_cor,cc_cor,her_cor,coast_cor,iconic_cor,sci_cor,edu_cor,seafood_sea,recr_fish_sea,biodiversity_sea,water_sea,beach_sea,cc_sea,her_sea,coast_sea,iconic_sea,sci_sea,edu_sea,wtp_cor,value1_cor,value5_cor,value10_cor,value50_cor,value100_cor,value500_cor,value1000_cor,min_cor,max_cor,wtp_sea,value1_sea,value5_sea,value10_sea,value50_sea,value100_sea,value500_sea,value1000_sea,min_sea,max_sea,cc_bel,threat_cor1,threat_cor2,threat_cor3,threat_sea1,threat_sea2,threat_sea3,cc_cor,cc_sea,p_d_cor,c_u_d_cor,r_f_cor,t_cor,d_cor,c_f_cor,c_t_cor,a_r_cor,i_a_cor,u_r_cor,p_d_sea,c_u_d_sea,r_f_sea,t_sea,d_sea,c_f_sea,c_t_sea,a_r_sea,i_a_sea,u_r_sea,sst_cor,o_a_cor,cyc_cor,w_q_cor,cots_cor,sst_sea,o_a_sea,cyc_sea,w_q_sea,cots_sea,soc_gbr,cul_gbr
45-54,M,Secondary Education,N,Y,N,N,N,Y,N,N,N,Boating,Boating,Every day,Green zone,Preservation area,NA,poor,good,3,5,4,4,5,1,1,3,3,1,1,4,5,4,5,3,2,2,5,3,2,2,4,5,4,5,3,2,2,5,4,2,2,N,NA,NA,NA,NA,NA,NA,NA,0,0,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,Runoff,Trawler nets,Plastic ,Trawler nets,NA,NA,no_threat,no_threat,4,4,1,3,4,3,3,5,2,4,4,4,1,3,5,5,5,5,2,4,4,3,4,4,5,4,3,4,4,2,3,3
35-44,F,Secondary Education,N,N,N,N,N,Y,N,N,N,Boating,Boating,Few times a year,Fish,Coral ,Sharkes,very_good,very_poor,4,3,5,5,5,4,2,2,4,4,4,3,2,3,4,1,5,NA,1,2,4,5,5,3,3,1,1,3,NA,1,2,4,5,Y,NA,NA,NA,NA,NA,$500,"$1,000",500,1000,N,NA,NA,NA,NA,NA,NA,NA,0,0,63,Temperature ,Fishing,NA,NA,NA,NA,immediate,far_away,1,3,4,4,5,5,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,2,NA,5,4,1,2,NA,4,3
25-34,M,Secondary Education,N,Y,N,N,N,N,N,N,N,Rec_fish,Rec_fish,Less than once a year,Reef itself ,Colours of coral ,Beautiful fish,poor,good,4,4,3,3,3,5,5,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,4,5,3,3,5,5,5,Y,NA,NA,NA,NA,$100,NA,NA,100,100,Y,NA,NA,NA,NA,$100,NA,NA,100,100,99,Coal ,Heated ocean ,No enough support ,Trailing ,Over fishing ,Temperature ,immediate,immediate,4,3,3,3,5,5,5,5,3,5,4,3,3,3,5,5,5,5,3,5,5,5,2,4,2,5,5,2,4,2,4,4
25-34,M,Bachelor's degree,Y,N,N,N,Y,N,N,N,N,Scuba,Scuba,Few times a year,Coral reefs,NA,NA,good,very_good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-44,M,Diploma,Y,N,N,N,N,Y,N,N,N,Scuba,Scuba,About once a week,coral Reef ,Fish life,Green zones ,very_poor,very_poor,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,N,NA,NA,NA,NA,NA,NA,NA,0,0,N,NA,NA,NA,NA,NA,NA,NA,0,0,100,Commercial Fishing  ,Commercial waste  ,Farming chemicals ,Commercial Fishing,Commercial Waste,Farming Chemicals ,immediate,immediate,5,5,2,3,5,5,5,5,5,5,5,5,2,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5
55-64,F,Diploma,Y,N,N,Y,Y,Y,N,N,N,Scuba,Scuba,Few times a year,Coral,Mangroves,Wrecks,poor,good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-34,F,Bachelor's degree,N,N,N,Y,Y,N,N,N,N,Sailing,Sailing,Few times a year,Reef,Ocean,Island,good,very_poor,4,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,3,Y,NA,NA,NA,$50,NA,NA,"$1,000",50,1000,Y,NA,NA,$10,NA,NA,NA,"$1,000",10,1000,99,Coral bleaching,Crown of thorns,Over fishing,Threats to marine species,Climate change,Degradation of reef,immediate,immediate,4,3,2,2,5,5,5,5,4,4,5,3,2,2,5,5,5,5,4,4,5,5,5,4,5,3,4,4,5,2,5,4
18-24,F,Secondary Education,N,N,N,Y,N,N,N,N,N,Sailing,Sailing,Few times a year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65+,M,Bachelor's degree,N,N,N,Y,N,N,N,N,N,Sailing,Sailing,NA,whitsunday islands,abbot point,great keppel isands,good,very_poor,2,2,4,5,2,2,1,2,5,4,4,4,2,5,5,1,2,1,5,4,4,3,4,2,4,4,1,2,1,5,5,4,3,Y,NA,NA,NA,$50,$100,NA,NA,50,100,Y,NA,NA,NA,$50,$100,NA,NA,50,100,84,coal transport,tourism development on shore,pollution,pollution,onshore tourist development,dredging,far_away,far_away,4,5,1,2,5,3,4,3,2,2,4,5,1,2,5,3,4,3,3,3,3,3,2,4,2,3,3,2,4,1,3,3
45-54,F,Secondary Education,N,N,N,N,Y,N,N,N,N,Snorkeling_freediving,Snorkeling_freediving,Once a year,Corals ,Islands ,Seagrass meadows ,poor,good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-44,F,Secondary Education,N,Y,N,Y,Y,Y,N,N,N,Sailing,Sailing,Once a month,Mangroves,Coral reefs,Islands,good,very_good,3,5,5,4,5,1,2,2,5,3,2,5,5,5,4,1,4,1,2,4,4,3,3,4,5,4,2,4,1,5,5,4,3,Y,NA,NA,$10,NA,$100,NA,NA,10,100,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,Cyclones,Over fishing,NA,Dredging ,NA,NA,far_away,no_threat,1,3,2,1,2,3,3,1,1,4,3,3,1,1,4,3,3,1,1,4,2,3,4,3,5,1,2,4,3,1,4,4
35-44,M,Master's degree,Y,N,N,N,N,N,N,Y,N,Scuba,Scuba,Once a month,Coral reef,Islands,Rainforest,very_poor,very_good,5,2,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,Y,NA,NA,NA,NA,$100,NA,"$1,000",100,1000,Y,NA,NA,NA,NA,$100,NA,"$1,000",100,1000,100,Ocean acidification,Sea temperature rise,More frequent severe storms ,Biodiversity loss,Development ,Ocean acidification,immediate,immediate,5,5,3,3,5,5,5,5,3,5,5,5,3,3,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3
18-24,M,Secondary Education,Y,N,N,N,Y,N,N,N,N,Snorkeling_freediving,Snorkeling_freediving,Few times a year,Coral reef,Sand quay,NA,very_poor,good,1,1,5,3,3,5,3,3,5,5,5,2,3,5,4,2,4,1,3,5,5,5,2,3,4,2,1,3,1,2,5,5,3,Y,NA,NA,NA,NA,$100,NA,"$1,000",100,1000,Y,NA,NA,NA,NA,$100,NA,"$1,000",100,1000,100,Fishing nets + anchors,Overfishing,Climate change,Nets + anchors,Climate change,Storms,immediate,immediate,5,5,5,3,5,5,5,5,1,4,5,5,5,2,5,5,5,5,1,4,5,5,5,4,2,5,5,5,3,1,4,2
18-24,F,Secondary Education,Y,Y,N,N,Y,Y,N,N,N,Rec_fish,Rec_fish,About once a week,Coral reef ,Substratum (sand),Blue holes,very_poor,good,3,3,5,4,4,5,5,5,5,5,5,4,4,5,3,1,2,5,5,3,5,5,1,1,2,3,1,5,1,1,4,2,2,Y,NA,NA,NA,NA,$100,NA,"$1,000",100,1000,Y,NA,NA,NA,$50,NA,NA,"$1,000",50,1000,100,Overfishing,Rise in temperature,Anchors from boats,Clearing for anthropogenic structures,dugongs eat all the grass,sedimentation,immediate,no_opinion,2,2,4,5,5,4,4,5,3,5,5,4,2,1,5,1,1,5,3,5,5,5,5,4,5,1,3,2,1,1,5,4
18-24,F,Bachelor's degree,Y,N,N,Y,Y,N,N,N,N,Sailing,Sailing,Once a year,Coral reef,Sandy Beaches,Open ocean,poor,very_good,1,1,5,5,4,5,5,4,5,4,5,5,1,5,3,2,5,2,5,5,3,3,5,1,5,2,4,5,1,1,4,3,3,Y,NA,NA,$10,NA,$100,NA,NA,10,100,Y,NA,$5,NA,$50,NA,NA,NA,5,50,100,Global warming,Toursim,Pollution,Bottom trawling,Climate change,Tourism,immediate,immediate,4,2,3,4,5,5,5,2,2,3,5,2,2,3,5,3,5,4,3,4,5,4,4,3,2,4,4,5,3,1,5,5
18-24,M,Secondary Education,Y,Y,Y,Y,Y,Y,N,N,N,Scuba,Scuba,Once a month,Coral reef,Sand Flat,Rocky bottoms,good,very_good,4,5,5,5,4,4,4,4,5,4,4,5,5,5,5,4,4,5,4,5,5,5,5,3,3,4,3,4,3,4,5,3,4,Y,NA,NA,NA,$50,NA,$500,NA,50,500,Y,NA,NA,NA,$50,$100,NA,NA,50,100,95,Temperature increase,Sea level rise,extinction of key species,Fishing nets damaging the bottom,high sedimentation,run-off of chemicals from rivers,immediate,immediate,4,4,5,5,5,5,5,4,3,2,5,5,3,2,5,4,5,5,3,3,5,5,5,5,5,3,3,4,4,1,5,5
18-24,M,Bachelor's degree,Y,N,N,N,Y,N,N,N,N,Snorkeling_freediving,Snorkeling_freediving,Once a month,Reef flat,Shelves,NA,poor,very_good,5,1,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,3,3,5,5,5,5,5,5,4,5,5,3,3,5,5,5,Y,NA,NA,NA,NA,$100,NA,"$1,000",100,1000,Y,NA,NA,NA,NA,$100,NA,"$1,000",100,1000,100,Humans,NA,NA,Humans,NA,NA,immediate,immediate,4,5,2,4,4,5,5,5,4,5,4,5,2,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,3,4,4
18-24,M,Bachelor's degree,Y,N,N,N,Y,N,N,N,N,Scuba,Scuba,Once a year,Sand flats,Coral reef,Open Ocean,very_poor,good,1,1,5,3,1,4,4,4,5,3,4,1,1,5,3,1,4,2,5,4,3,2,1,1,5,3,1,4,2,5,4,3,2,Y,NA,NA,$10,NA,$100,NA,NA,10,100,Y,NA,NA,$10,NA,$100,NA,NA,10,100,100,Cyclones,Pollution,Climate change,Fishing nets,Dredging,Dugongs,immediate,immediate,5,4,3,4,5,5,5,2,2,3,5,4,3,3,5,5,5,2,2,3,5,4,4,3,4,5,5,4,3,1,3,3
18-24,F,Bachelor's degree,Y,N,N,N,Y,N,N,N,N,Scuba,Scuba,Once a month,Coral reefs,NA,NA,poor,good,2,1,5,5,4,5,5,5,5,5,5,3,4,5,5,2,5,5,5,5,5,5,1,1,2,5,2,5,3,5,5,5,5,Y,$1,NA,NA,$50,NA,NA,NA,1,50,Y,$1,NA,NA,$50,NA,NA,NA,1,50,100,Bleaching,overfishing,Sea temperature increase,Corrosion,Sea temperature rise,NA,immediate,immediate,5,4,2,3,5,5,5,5,5,4,5,4,2,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,5,5
18-24,M,Bachelor's degree,Y,N,N,N,Y,N,N,N,N,Scuba,Scuba,Once a month,Reefs,Mangroves,Sand banks,poor,good,4,2,5,5,2,5,4,5,5,3,5,5,5,5,3,1,5,5,5,5,5,5,3,3,5,2,1,5,5,2,5,5,5,Y,NA,NA,NA,NA,NA,$500,"$1,000",500,1000,Y,NA,NA,NA,NA,NA,$500,"$1,000",500,1000,100,Fishing,Climate change,Pollution,Climate change,warming ocean,pollution,immediate,immediate,5,5,4,3,5,5,5,5,4,5,5,5,4,2,5,5,5,5,4,5,5,5,5,5,5,5,5,3,5,1,5,4
25-34,M,Bachelor's degree,Y,N,N,N,Y,N,N,N,N,Scuba,Scuba,Few times a year,Coral reef,Seagrass,Mangrove,good,very_good,5,1,5,5,4,4,2,4,5,3,4,5,4,5,4,4,5,3,5,5,4,5,5,4,5,5,4,5,5,4,5,4,5,Y,NA,NA,$10,NA,NA,$500,NA,10,500,Y,NA,$5,NA,$50,NA,NA,NA,5,50,100,Overfishing,Climate change,NA,Dredging,Climate change,NA,immediate,immediate,3,3,3,2,3,4,4,4,4,4,4,4,3,2,4,4,5,4,4,4,4,5,5,4,4,4,4,5,4,2,3,3
