Age,Gender,Education,main_activity,wtp_cor,reason_cor,wtp_sea,reason_sea,cc_bel
65+,Female,Bachelor's degree,Snorkeling_freediving,Y,It is all I can afford ,Y,Affordability,100
35-44,Male,Bachelor's degree,Rec_fish,Y,"I think the amount needs to be sufficient, but not onerous to peoples budget. Would much rather increase existing reef tourism levies to pay the extra amount. ",Y,Same reasoning as above for coral reef.,80
65+,Male,Diploma,Sailing,NA,NA,NA,NA,NA
18-24,Male,Secondary Education,Rec_fish,NA,NA,NA,NA,NA
35-44,Male,Diploma,Spearfishing,NA,NA,NA,NA,NA
45-54,Male,Diploma,Boating,Y,If everyone chips in this amount there will be plenty of money to try and save the feed the question is how ,Y,Where all in this together and the small payment should be a government tax,48
25-34,Male,NA,Spearfishing,NA,NA,NA,NA,NA
18-24,Male,Bachelor's degree,Spearfishing,NA,NA,NA,NA,NA
18-24,Male,Secondary Education,Spearfishing,Y,I think that much over a year is a small sacrifice I’m willing to make as long as the money was being put towards the right research and actions,Y,Small sacrifice I’d be willing to make as long as the money was actually helping protect these environments and educate the people,NA
35-44,Male,Master's degree,Spearfishing,N,I’m not keen to use my money to restore the reef. I think that’s government responsibility.,N,"Same as above, government responsibility ",100
NA,Male,Secondary Education,Spearfishing,N,"Because the earth will naturally fix itself. Human intervention makes no change considering what mother nature can do (cyclones, hot or cold weather periods)",N,Same as previous answer,10
25-34,Male,Diploma,Spearfishing,Y,That is not much from one person to help so if everyone can it should help,Y,Same as last,47
45-54,Female,Diploma,Snorkeling_freediving,Y,NA,Y,NA,93
25-34,Male,Ph. D,Rec_fish,Y,Money well spent if used well with public input where it is spent ,N,Sea grass does not seem as important ,89
18-24,Female,Ph. D,Scuba,Y,Not sure if the public’s money is what is needed to achieve this image. ,Y,As above,100
25-34,Female,Secondary Education,Rec_fish,NA,NA,NA,NA,NA
18-24,Female,Secondary Education,Boating,Y,I think that if everyone chips in a small and reasonable amount it’ll work,Y,I think if everyone chips in a small amount it will work out,NA
65+,Male,Secondary Education,Rec_fish,Y,If the reasearch assists the rejuvenation of the coral then I would be happy to contribute. However I have seen the coral grow back after storms and cyclones on it’s own ,N,Refer to previous reason,0
55-64,Male,Diploma,Kitesurfing,N,The planet will reclaim itself once it removes the best (us) we interfere in everything trying to save one thing we kill another hence the Cain toad ,N,"Same as previous , also I do not have a lot of spare cash in the covid crisis",55
55-64,Female,Bachelor's degree,Rec_fish,Y,Single parent and limited income ,Y,Single parent and limited income ,100
55-64,Male,Secondary Education,Sailing,N,I don’t bye into all the global warming hype the reef has survived for billions of years. And sea levels have been a lot higher and lower. Than now.,N,Don’t believe my $$ would do anything,7
25-34,Male,Bachelor's degree,Rec_fish,Y,The reef is important to our planet ,Y,It is not as important as the reef ,100
45-54,Female,Master's degree,Sailing,Y,"I think payment should be through taxes, not individuals",Y,"I think payment should be through taxes, not individuals",100
55-64,Male,Bachelor's degree,Sailing,NA,NA,NA,NA,NA
55-64,Female,Bachelor's degree,Rec_fish,Y,I have limited income. Single mother.,Y,Limited income. Single mum ,NA
55-64,Female,Ph. D,Sailing,NA,NA,NA,NA,NA
18-24,Male,Secondary Education,Sailing,Y,NA,Y,NA,60
25-34,Female,Bachelor's degree,Rec_fish,Y,"I cannot afford $1000 per year. I am only a low income earner. But I would give something as I would love for the GBR to live long into the future, for our benefits and for that of the sea and wildlife",Y,"As above, I cannot afford $1000.",80
35-44,Female,NA,Boating,NA,NA,NA,NA,NA
