Age,Gender,Education,main_activity,visit_freq,habitat_1,habitat_2,habitat_3,Category_1,Category_2,Category_3,threat_cor1,threat_cor2,threat_cor3,threat_cor_category_1,threat_cor_category_2,threat_cor_category_3,threat_sea1,threat_sea2,threat_sea3,threat_sea_category_1,threat_sea_category_2,threat_sea_category_3,soc_gbr,cul_gbr
45-54,M,Diploma,Sailing,Once a year,Lagoon,Reef,Mangrove,lagoon,coral_reef,mangroves,Global warming ,Coastal run-off ,Plastic waste,climate_change,runoff,pollution,Coastal run-off,Trawling ,Propellers,runoff,trawling,boat_damage,5,4
18-24,F,Master's degree,Scuba,Once a month,Corals,anemone,algae,coral_reef,other_marine_organisms,macroalgae,climate change and related extreme events,pollution / plastic,overfishing,climate_change,pollution,commercial_fishing,overfishing,boat anchors,climate change extreme events,commercial_fishing,boat_damage,climate_change,5,3
35-44,M,Master's degree,Scuba,Once a month,Coral reef,Islands,Rainforest,coral_reef,non_biological_habitats,NA,Ocean acidification,Sea temperature rise,More frequent severe storms ,climate_change,climate_change,climate_change,Biodiversity loss,Development ,Ocean acidification,habitat_biodiversity_loss,coastal_development,climate_change,5,3
25-34,M,Secondary Education,Rec_fish,Less than once a year,Reef itself ,Colours of coral ,Beautiful fish,coral_reef,coral_reef,other_marine_organisms,Coal ,Heated ocean ,No enough support ,mining,climate_change,others,Trawling,Over fishing ,Temperature ,trawling,commercial_fishing,climate_change,4,4
18-24,M,Bachelor's degree,Scuba,Few times a year,Coral bommie,wreck,reefwall,coral_reef,non_biological_habitats,coral_reef,storm damage,Ocean acidification,global warming,extreme_events,climate_change,climate_change,motor boat activity,human interaction,Sea level rise,boat_damage,direct_damage,climate_change,4,4
55-64,F,Diploma,Scuba,Few times a year,Coral Reefs,Seaweed forests,Mangrove forests ,coral_reef,macroalgae,mangroves,Commercial Fishing,Plastic ,Climate change ,commercial_fishing,pollution,climate_change,Commercial Fishing ,Plastic ,Climate change ,commercial_fishing,pollution,climate_change,3,3
65+,M,Diploma,Scuba,About once a week,Turtles,Fish types,Reef,other_marine_organisms,other_marine_organisms,coral_reef,Fish,Reef,Turtles,commercial_fishing,NA,NA,Floods,Chemicals,Over eating,extreme_events,pollution,climate_change,4,4
55-64,M,Secondary Education,Sailing,Once a year,Fish,Coral,Sea grass,other_marine_organisms,coral_reef,seagrass,Crown of thorns,Over fishing ,Storms,COTs,commercial_fishing,extreme_events,Run off of fertiliser ,Dredging sediment,Imported sand like the Strand in Townsville ,pollution,dredging,coastal_development,4,4
18-24,F,Bachelor's degree,Scuba,Few times a year,coral,benthic/sand/ocean floor,seagrass/algae,coral_reef,non_biological_habitats,seagrass,climate change - bleaching,overfishing,water pollution,climate_change,commercial_fishing,pollution,climate change ,algal blooms from eutrophication,human land-based impact (eg. infrastructure),climate_change,pollution,coastal_development,4,4
45-54,F,Master's degree,Sailing,Once a year,coral reef,sea grass beds,open ocean,coral_reef,seagrass,ocean,Climate change,sediment and pollution runoff,overfishing and destructive fishing,climate_change,runoff,commercial_fishing,climate change,sediment and pollution runoff,overfishing and destructive fishing,climate_change,runoff,commercial_fishing,3,4
